User ID,User Name,Job Role,Current Skills,Skill Proficiencies
1,User_1,Database Administrator,"Kubernetes, SQL, TensorFlow","Kubernetes (Expert), SQL (Intermediate), TensorFlow (Intermediate)"
2,User_2,Full Stack Developer,"Java, HTML/CSS, Python, Kubernetes, SQL, Machine Learning, AWS","Java (Intermediate), HTML/CSS (Beginner), Python (Expert), Kubernetes (Intermediate), SQL (Intermediate), Machine Learning (Intermediate), AWS (Expert)"
3,User_3,Software Engineer,"HTML/CSS, AWS, Kubernetes, Git, Data Visualization, TensorFlow, JavaScript","HTML/CSS (Intermediate), AWS (Beginner), Kubernetes (Expert), Git (Intermediate), Data Visualization (Intermediate), TensorFlow (Beginner), JavaScript (Intermediate)"
4,User_4,QA Tester,"Java, SQL, Machine Learning, Data Visualization, Docker, Python, Kubernetes","Java (Intermediate), SQL (Beginner), Machine Learning (Beginner), Data Visualization (Intermediate), Docker (Beginner), Python (Expert), Kubernetes (Intermediate)"
5,User_5,Junior Web Developer,"JavaScript, AWS, Python, SQL, Java","JavaScript (Expert), AWS (Intermediate), Python (Expert), SQL (Intermediate), Java (Intermediate)"
6,User_6,Cloud Engineer,"Kubernetes, SQL, Python, HTML/CSS, Machine Learning","Kubernetes (Beginner), SQL (Expert), Python (Expert), HTML/CSS (Expert), Machine Learning (Intermediate)"
7,User_7,Network Administrator,"AWS, SQL, TensorFlow, Machine Learning","AWS (Intermediate), SQL (Intermediate), TensorFlow (Expert), Machine Learning (Expert)"
8,User_8,Cloud Engineer,"TensorFlow, Java, AWS, Git, HTML/CSS, Python, Data Visualization","TensorFlow (Beginner), Java (Beginner), AWS (Intermediate), Git (Expert), HTML/CSS (Beginner), Python (Intermediate), Data Visualization (Expert)"
9,User_9,Security Analyst,"SQL, Docker, Machine Learning, HTML/CSS, Git, Java","SQL (Expert), Docker (Beginner), Machine Learning (Expert), HTML/CSS (Expert), Git (Expert), Java (Beginner)"
10,User_10,Full Stack Developer,"Kubernetes, Git, AWS, SQL","Kubernetes (Beginner), Git (Expert), AWS (Beginner), SQL (Expert)"
11,User_11,IT Support Specialist,"SQL, Machine Learning, Data Visualization, Kubernetes","SQL (Intermediate), Machine Learning (Beginner), Data Visualization (Intermediate), Kubernetes (Intermediate)"
12,User_12,DevOps Engineer,"SQL, Python, HTML/CSS, Docker, TensorFlow, Machine Learning, Data Visualization","SQL (Intermediate), Python (Intermediate), HTML/CSS (Expert), Docker (Expert), TensorFlow (Expert), Machine Learning (Intermediate), Data Visualization (Expert)"
13,User_13,Network Administrator,"Kubernetes, TensorFlow, JavaScript","Kubernetes (Beginner), TensorFlow (Intermediate), JavaScript (Expert)"
14,User_14,Cloud Engineer,"Java, Python, HTML/CSS, Data Visualization","Java (Intermediate), Python (Beginner), HTML/CSS (Beginner), Data Visualization (Expert)"
15,User_15,Junior Web Developer,"Docker, JavaScript, Python, TensorFlow, HTML/CSS, SQL, Java","Docker (Beginner), JavaScript (Beginner), Python (Expert), TensorFlow (Expert), HTML/CSS (Intermediate), SQL (Intermediate), Java (Intermediate)"
16,User_16,Junior Web Developer,"Machine Learning, Java, Kubernetes","Machine Learning (Intermediate), Java (Intermediate), Kubernetes (Intermediate)"
17,User_17,QA Tester,"Python, Kubernetes, SQL, AWS, Git","Python (Expert), Kubernetes (Intermediate), SQL (Expert), AWS (Expert), Git (Intermediate)"
18,User_18,DevOps Engineer,"Git, Machine Learning, Data Visualization","Git (Expert), Machine Learning (Expert), Data Visualization (Intermediate)"
19,User_19,Junior Software Developer,"Java, JavaScript, Git, HTML/CSS","Java (Beginner), JavaScript (Intermediate), Git (Beginner), HTML/CSS (Beginner)"
20,User_20,AI Engineer,"SQL, Docker, Kubernetes, AWS","SQL (Beginner), Docker (Intermediate), Kubernetes (Intermediate), AWS (Expert)"
21,User_21,Network Administrator,"TensorFlow, Docker, JavaScript, SQL, Machine Learning, AWS, Data Visualization","TensorFlow (Intermediate), Docker (Intermediate), JavaScript (Beginner), SQL (Beginner), Machine Learning (Expert), AWS (Intermediate), Data Visualization (Beginner)"
22,User_22,DevOps Engineer,"Data Visualization, SQL, Docker, HTML/CSS","Data Visualization (Expert), SQL (Beginner), Docker (Expert), HTML/CSS (Beginner)"
23,User_23,DevOps Engineer,"Docker, JavaScript, Machine Learning, Data Visualization, Java, Git","Docker (Expert), JavaScript (Beginner), Machine Learning (Intermediate), Data Visualization (Intermediate), Java (Intermediate), Git (Beginner)"
24,User_24,Network Administrator,"Java, SQL, Python, TensorFlow","Java (Beginner), SQL (Expert), Python (Expert), TensorFlow (Intermediate)"
25,User_25,IT Support Specialist,"TensorFlow, Machine Learning, Kubernetes, Docker","TensorFlow (Intermediate), Machine Learning (Beginner), Kubernetes (Expert), Docker (Beginner)"
26,User_26,Database Administrator,"HTML/CSS, Machine Learning, JavaScript, AWS, SQL, Python, Kubernetes","HTML/CSS (Expert), Machine Learning (Beginner), JavaScript (Beginner), AWS (Intermediate), SQL (Beginner), Python (Intermediate), Kubernetes (Intermediate)"
27,User_27,QA Tester,"Java, JavaScript, SQL, Machine Learning, Git","Java (Beginner), JavaScript (Intermediate), SQL (Intermediate), Machine Learning (Intermediate), Git (Beginner)"
28,User_28,DevOps Engineer,"Git, Java, JavaScript, HTML/CSS, TensorFlow, AWS","Git (Beginner), Java (Expert), JavaScript (Expert), HTML/CSS (Expert), TensorFlow (Beginner), AWS (Beginner)"
29,User_29,Full Stack Developer,"HTML/CSS, Data Visualization, JavaScript, Kubernetes, Machine Learning","HTML/CSS (Intermediate), Data Visualization (Intermediate), JavaScript (Intermediate), Kubernetes (Intermediate), Machine Learning (Beginner)"
30,User_30,Security Analyst,"Docker, Kubernetes, Java, SQL","Docker (Beginner), Kubernetes (Intermediate), Java (Beginner), SQL (Intermediate)"
31,User_31,Software Engineer,"SQL, Kubernetes, AWS, Machine Learning, Git, Java","SQL (Expert), Kubernetes (Beginner), AWS (Expert), Machine Learning (Intermediate), Git (Expert), Java (Intermediate)"
32,User_32,IT Support Specialist,"Python, Kubernetes, JavaScript, TensorFlow, Machine Learning, Git, SQL","Python (Expert), Kubernetes (Expert), JavaScript (Beginner), TensorFlow (Intermediate), Machine Learning (Beginner), Git (Expert), SQL (Expert)"
33,User_33,Network Administrator,"Machine Learning, AWS, SQL","Machine Learning (Intermediate), AWS (Expert), SQL (Beginner)"
34,User_34,Full Stack Developer,"Java, JavaScript, HTML/CSS, Kubernetes, AWS, TensorFlow","Java (Intermediate), JavaScript (Intermediate), HTML/CSS (Expert), Kubernetes (Beginner), AWS (Expert), TensorFlow (Intermediate)"
35,User_35,DevOps Engineer,"Machine Learning, TensorFlow, Docker, Data Visualization, AWS, Python","Machine Learning (Intermediate), TensorFlow (Beginner), Docker (Intermediate), Data Visualization (Beginner), AWS (Expert), Python (Intermediate)"
36,User_36,QA Tester,"HTML/CSS, AWS, Machine Learning, Java, Data Visualization, JavaScript","HTML/CSS (Intermediate), AWS (Intermediate), Machine Learning (Intermediate), Java (Intermediate), Data Visualization (Beginner), JavaScript (Intermediate)"
37,User_37,IT Support Specialist,"Data Visualization, TensorFlow, Python","Data Visualization (Expert), TensorFlow (Expert), Python (Expert)"
38,User_38,Junior Software Developer,"Java, Python, AWS, Git","Java (Expert), Python (Beginner), AWS (Intermediate), Git (Intermediate)"
39,User_39,Database Administrator,"Python, Machine Learning, Kubernetes, JavaScript, Docker, TensorFlow","Python (Beginner), Machine Learning (Beginner), Kubernetes (Expert), JavaScript (Beginner), Docker (Intermediate), TensorFlow (Expert)"
40,User_40,Full Stack Developer,"Python, AWS, Machine Learning, Docker, HTML/CSS, Kubernetes","Python (Beginner), AWS (Beginner), Machine Learning (Intermediate), Docker (Expert), HTML/CSS (Expert), Kubernetes (Expert)"
41,User_41,Security Analyst,"Data Visualization, HTML/CSS, Python, Git, Java, SQL","Data Visualization (Beginner), HTML/CSS (Expert), Python (Intermediate), Git (Intermediate), Java (Expert), SQL (Beginner)"
42,User_42,Junior Software Developer,"Kubernetes, Data Visualization, Docker","Kubernetes (Beginner), Data Visualization (Intermediate), Docker (Intermediate)"
43,User_43,Junior Software Developer,"TensorFlow, Docker, Machine Learning, Java, HTML/CSS","TensorFlow (Expert), Docker (Expert), Machine Learning (Intermediate), Java (Expert), HTML/CSS (Expert)"
44,User_44,IT Support Specialist,"Python, Git, Machine Learning","Python (Intermediate), Git (Expert), Machine Learning (Intermediate)"
45,User_45,IT Support Specialist,"TensorFlow, Java, HTML/CSS, Docker, JavaScript, AWS","TensorFlow (Beginner), Java (Intermediate), HTML/CSS (Expert), Docker (Expert), JavaScript (Intermediate), AWS (Expert)"
46,User_46,DevOps Engineer,"Java, Python, AWS","Java (Expert), Python (Expert), AWS (Beginner)"
47,User_47,AI Engineer,"Java, AWS, HTML/CSS, Machine Learning, JavaScript","Java (Beginner), AWS (Expert), HTML/CSS (Expert), Machine Learning (Expert), JavaScript (Intermediate)"
48,User_48,AI Engineer,"Docker, AWS, JavaScript","Docker (Intermediate), AWS (Beginner), JavaScript (Expert)"
49,User_49,AI Engineer,"Git, Data Visualization, Python, Docker, SQL, JavaScript, AWS","Git (Beginner), Data Visualization (Beginner), Python (Intermediate), Docker (Intermediate), SQL (Intermediate), JavaScript (Beginner), AWS (Expert)"
50,User_50,AI Engineer,"TensorFlow, Data Visualization, Java","TensorFlow (Intermediate), Data Visualization (Intermediate), Java (Intermediate)"
